GEOID,LEA,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,CTE Program Support
3700930,Cleveland County,"1,128,097",0,"980,062","770,507","15,136,001","8,775,467","5,574,879","14,625,689",166,"13,534,644",175,"1,503,151","4,604,526","1,661,122","1,398,300", 8 ," 652,272 ", - , 13 ," 1,059,942 ", 662 ," 47,861,926 ", 29 ," 3,185,998 "," 3,542,190 ", - , 666 ," 4,879,116 "," 198,164 "," 240,549 "
3700960,Columbus County,"426,294",0,"370,363","530,411","4,645,560","5,386,202","2,138,156","7,650,012",71,"5,316,054",66,"544,048","1,739,992","1,133,097","528,400", 17 ," 1,272,858 ", - , 5 ," 374,370 ", 249 ," 17,078,089 ", 17 ," 1,862,044 "," 2,122,746 ", - , 297 ," 2,130,084 "," 85,441 "," 94,692 "
3703310,Whiteville City,"179,182",0,"155,636","253,167","1,989,008","2,188,425","902,559","3,393,872",26,"1,948,622",28,"234,383","731,363","738,272","222,100", 5 ," 374,735 ", - , 2 ," 149,894 ", 110 ," 7,937,443 ", 5 ," 530,315 "," 389,513 ", - , 149 ," 1,009,177 "," 40,210 "," 36,464 "
3700011,Craven County,"1,065,331",0,"925,595","1,490,793","11,705,098","4,324,398","5,492,319","8,954,510",154,"11,556,006",165,"1,395,159","4,348,335","1,506,535","1,320,500", 12 ," 900,468 ", - , 12 ," 900,468 ", 629 ," 41,908,645 ", 25 ," 2,730,475 "," 4,053,594 ", - , 619 ," 4,348,475 "," 183,989 "," 228,713 "
3701080,Cumberland County,"4,028,169",0,"3,499,116","3,862,853","50,609,875","30,516,276","21,077,911","51,328,091",560,"42,041,440",624,"5,305,523","16,441,677","3,190,741","4,993,000", 48 ," 3,603,552 ", - , 43 ," 3,228,182 "," 2,383 "," 163,093,184 ", 87 ," 9,785,412 "," 12,693,940 ", - ," 2,156 "," 15,229,984 "," 653,619 "," 896,142 "
3701110,Currituck County,"340,454",0,"295,722","139,654","3,569,062",0,"1,856,894","2,763,743",52,"4,160,780",53,"459,993","1,389,623","863,836","422,000", - , - , - , 4 ," 320,060 ", 204 ," 14,551,959 ", 10 ," 1,051,060 "," 1,984,742 ", - , 226 ," 1,586,068 "," 63,925 "," 69,683 "
3701140,Dare County,"429,198",0,"372,932","1,015,418","4,593,321",0,"2,136,757","2,774,783",62,"5,075,754",67,"580,443","1,751,847","993,564","532,000", 1 ," 81,867 ", - , 5 ," 409,335 ", 252 ," 19,261,624 ", 10 ," 1,181,720 "," 1,117,764 ", - , 295 ," 2,061,165 "," 84,765 "," 88,774 "
3701170,Davidson County,"1,489,204",0,"1,293,974","1,374,529","17,375,696","7,499,571","7,168,701","14,658,856",212,"15,764,108",231,"1,963,091","6,078,448","1,723,444","1,845,900", 8 ," 594,872 ", - , 17 ," 1,264,103 ", 866 ," 59,532,042 ", 36 ," 3,945,528 "," 4,398,134 ", - , 899 ," 6,383,799 "," 269,444 "," 327,605 "
3701200,Lexington City,"246,628",0,"214,336","1,051,191","2,767,107","1,232,795","1,278,976","16,095,990",36,"2,502,324",38,"324,995","1,006,653","745,929","305,700", 4 ," 278,036 ", - , 3 ," 208,527 ", 146 ," 9,891,998 ", 6 ," 655,410 "," 493,219 ", - , 177 ," 1,301,481 "," 48,803 "," 56,510 "
3701260,Thomasville City,"179,908",0,"156,215","839,302","1,986,826","915,526","1,029,897","10,021,230",26,"2,021,604",28,"231,720","734,327","704,277","223,000", 2 ," 155,508 ", - , 2 ," 155,508 ", 111 ," 7,273,272 ", 4 ," 455,828 "," 167,009 ", - , 138 ," 900,450 "," 36,827 "," 31,119 "
3700840,Davie County,"487,366",0,"423,521","686,577","6,668,186","1,354,667","2,408,224","3,216,981",69,"5,359,506",76,"652,153","1,989,268","967,074","604,100", 4 ," 310,696 ", - , 6 ," 466,044 ", 286 ," 20,354,962 ", 12 ," 1,339,728 "," 1,555,168 ", - , 319 ," 2,260,115 "," 92,241 "," 104,811 "
3701320,Duplin County,"770,378",0,"669,480","4,882,399","6,133,874","9,081,398","4,104,196","13,000,607",102,"7,676,316",119,"1,004,237","3,144,434","1,142,319","954,900", 10 ," 752,580 ", - , 8 ," 602,064 ", 458 ," 30,429,232 ", 13 ," 1,479,920 "," 2,453,520 ", - , 451 ," 3,124,077 "," 132,465 "," 167,621 "
3701380,Durham County,"2,621,174",0,"2,277,386","14,516,485","30,521,974",0,"13,597,162","22,574,190",357,"28,001,652",406,"3,393,947","10,698,780","2,159,033","3,249,000", 22 ," 1,725,592 ", - , 29 ," 2,274,644 "," 1,544 "," 110,330,276 ", 51 ," 5,696,445 "," 13,761,057 ", - ," 1,487 "," 10,194,872 "," 449,014 "," 819,205 "
3701500,Edgecombe County,"430,086",0,"373,606","762,939","5,989,377","5,331,424","2,143,754","30,067,637",67,"5,060,979",67,"563,952","1,755,469","1,224,994","533,100", 6 ," 453,222 ", - , 5 ," 377,685 ", 253 ," 17,199,403 ", 14 ," 1,520,386 "," 1,754,393 ", - , 278 ," 1,943,498 "," 79,826 "," 105,765 "
3701530,Forsyth County,"4,359,910",0,"3,787,441","18,744,640","50,465,379",0,"22,077,023","33,562,796",570,"44,816,250",676,"5,751,328","17,795,736","2,727,448","5,404,200", 25 ," 1,965,625 ", - , 47 ," 3,695,375 "," 2,562 "," 183,463,381 ", 78 ," 9,004,398 "," 14,745,194 ", - ," 2,394 "," 17,095,554 "," 726,253 "," 995,608 "
3701620,Franklin County,"638,715",0,"555,408","1,368,337","7,051,426","5,374,347","2,830,818","31,544,367",94,"7,240,726",99,"844,208","2,607,025","1,114,141","791,700", 9 ," 693,261 ", - , 8 ," 616,232 ", 369 ," 24,851,212 ", 16 ," 1,719,296 "," 2,434,998 ", - , 421 ," 2,989,942 "," 123,365 "," 143,566 "
3701680,Gaston County,"2,503,225",0,"2,175,047","4,768,198","32,251,604","10,985,211","12,297,197","21,081,777",351,"25,962,066",388,"3,265,774","10,217,352","2,226,618","3,102,800", 13 ," 961,558 ", - , 28 ," 2,071,048 "," 1,465 "," 100,740,316 ", 58 ," 6,525,696 "," 7,299,079 ", - ," 1,414 "," 10,040,814 "," 426,686 "," 611,874 "
3701770,Gates County,"126,178",0,"109,625","15,135","1,791,756","1,263,103","656,280","1,846,181",22,"1,682,648",20,"166,911","515,017","938,929","156,400", 1 ," 76,484 ", - , 2 ," 152,968 ", 75 ," 5,366,788 ", 5 ," 522,995 "," 657,419 "," 1,548,700 ", 117 ," 791,505 "," 30,467 "," 27,491 "
3701800,Graham County,"90,519",0,"78,618","62,604","1,187,681","189,826","472,969","851,228",14,"1,097,572",15,"125,183","369,468","803,682","112,200", 2 ," 156,796 ", - , 1 ," 78,398 ", 55 ," 3,897,439 ", 3 ," 305,766 "," 349,614 "," 1,820,000 ", 100 ," 775,800 "," 25,359 "," 17,564 "
3701830,Granville County,"568,526",0,"494,174","1,286,471","7,593,288","5,845,013","2,770,647","8,755,506",88,"6,633,088",88,"746,261","2,320,539","1,082,237","704,700", 9 ," 678,384 ", - , 7 ," 527,632 ", 333 ," 22,520,925 ", 17 ," 1,812,659 "," 2,043,782 ", - , 373 ," 2,603,167 "," 108,649 "," 165,139 "
3701920,Greene County,"228,959",0,"198,992","1,043,624","1,853,069","2,965,894","1,048,088","4,267,212",33,"2,664,156",36,"302,392","934,538","869,587","283,800", 5 ," 403,660 ", - , 3 ," 242,196 ", 134 ," 9,297,201 ", 6 ," 669,684 "," 1,109,333 "," 1,548,000 ", 177 ," 1,172,979 "," 48,871 "," 48,301 "
3701950,Guilford County,"5,708,657",0,"4,960,056","18,804,492","69,213,791",0,"28,147,260","44,330,319",786,"60,676,842",885,"7,459,912","23,300,883","3,608,925","7,076,000", 51 ," 3,937,047 ", - , 64 ," 4,940,608 "," 3,330 "," 234,927,964 ", 122 ," 13,704,992 "," 25,945,846 ", - ," 3,274 "," 23,016,220 "," 995,237 "," 1,394,042 "
3702010,Halifax County,"166,597",0,"144,752","148,598","2,369,741","1,931,640","892,764","20,267,522",32,"2,420,096",26,"224,973","679,993","1,070,071","206,500", 8 ," 605,024 ", - , 2 ," 151,256 ", 100 ," 7,158,614 ", 10 ," 1,108,680 "," 1,397,699 ", - , 131 ," 861,980 "," 34,764 "," 40,092 "
