LEA,GEOID,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,Driver Training,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,Yancey County,,
Cleveland County Schools,3700900,"558,918","3,419,790","429,307","183,074","8,199,264","5,501,611","3,638,279","926,034",67,"5,462,778",142,"1,219,700","3,879,620","1,012,475",0,0,0,"-156,621",0,0,662,"47,861,926",29,"3,185,998","3,542,190",0,666,"4,879,116","198,164","240,549","94,182,171",,,,,,,,,,,,,,,,,,,,,,,,,,,Edenton/Chowan,,
Clinton City Schools,3700930,"117,116","672,806","89,920","335,890","909,975","2,110,684","881,439","272,981",14,"1,047,564",30,"257,404","812,936","447,842",0,0,0,"-29,237",0,0,144,"10,004,441",5,"596,020","370,712",0,165,"1,210,440","44,913","45,055","20,198,900",,,,,,,,,,,,,,,,,,,,,,,,,,,Clay County,,
Columbus County Schools,3700960,"211,208","1,542,342","162,240","149,302","2,954,241","4,248,653","1,406,551","484,365",25,"1,871,850",54,"445,130","1,466,060","690,637",0,0,0,"-21,657",0,0,249,"17,078,089",17,"1,862,044","2,122,746",0,297,"2,130,084","85,441","94,692","38,984,018",,,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland County,,
Craven County Schools,3703310,"527,821","2,939,504","405,483","363,933","7,443,598","2,449,599","3,713,295","566,960",63,"4,727,457",134,"1,133,039","3,663,762","918,252",0,0,0,"-194,841",0,0,629,"41,908,645",25,"2,730,475","4,053,594",0,619,"4,348,475","183,989","228,713","82,111,752",,,,,,,,,,,,,,,,,,,,,,,,,,,Columbus County,,
Cumberland County Schools,3700011,"1,995,765","10,432,051","1,532,499","813,773","29,203,281","20,584,142","14,009,249","3,249,868",237,"17,792,538",507,"4,310,737","13,853,211","1,944,797",0,0,0,"-916,086",0,0,"2,383","163,093,184",87,"9,785,412","12,693,940",0,"2,156","15,229,984","653,619","896,142","321,158,107",,,,,,,,,,,,,,,,,,,,,,,,,,,Whiteville City,,
Currituck County Schools,3701080,"168,679","721,868","129,507","61,684","2,269,666",0,"1,256,519","174,988",20,"1,600,300",43,"373,202","1,170,850","526,519",0,0,0,"-106,322",0,0,204,"14,551,959",10,"1,051,060","1,984,742",0,226,"1,586,068","63,925","69,683","27,654,898",,,,,,,,,,,,,,,,,,,,,,,,,,,Craven County,,
Dare County Schools,3701110,"212,647","897,547","163,391","301,048","2,921,021",0,"1,294,027","175,687",26,"2,128,542",54,"467,819","1,476,048","605,590",0,0,0,"-109,154",0,0,252,"19,261,624",10,"1,181,720","1,117,764",0,295,"2,061,165","84,765","88,774","34,330,025",,,,,,,,,,,,,,,,,,,,,,,,,,,Cumberland County,,
Davidson County Schools,3701140,"737,830","3,611,535","566,920","311,379","10,791,773","4,757,583","4,744,766","928,134",88,"6,543,592",187,"1,589,169","5,121,498","1,050,461",0,0,0,"-174,511",0,0,866,"59,532,042",36,"3,945,528","4,398,134",0,899,"6,383,799","269,444","327,605","115,436,681",,,,,,,,,,,,,,,,,,,,,,,,,,,Currituck County,,
Davie County Schools,3701170,"241,466","1,083,021","185,581","187,354","3,539,827","142,326","1,575,337","203,685",29,"2,252,546",61,"523,438","1,676,091","589,444",0,0,0,"-88,983",0,0,286,"20,354,962",12,"1,339,728","1,555,168",0,319,"2,260,115","92,241","104,811","37,818,160",,,,,,,,,,,,,,,,,,,,,,,,,,,Dare County,,
Duplin County Schools,3701200,"381,686","2,290,443","293,369","1,759,222","3,900,701","6,782,082","2,719,332","823,141",46,"3,461,868",97,"818,580","2,649,395","696,258",0,0,0,"-194,460",0,0,458,"30,429,232",13,"1,479,920","2,453,520",0,451,"3,124,077","132,465","167,621","64,168,452",,,,,,,,,,,,,,,,,,,,,,,,,,,Davidson County,,
Durham Public Schools,3701260,"1,298,666","7,250,232","997,687","4,837,251","19,409,774",0,"9,358,253","1,429,298",155,"12,157,580",330,"2,758,627","9,014,437","1,315,958",0,0,0,"-412,814",0,0,"1,544","110,330,276",51,"5,696,445","13,761,057",0,"1,487","10,194,872","449,014","819,205","210,665,818",,,,,,,,,,,,,,,,,,,,,,,,,,,Lexington City,,
